name;measure;value_2020;value_2021;value_2022;value_2023;rank_2020;rank_2021;rank_2022;rank_2023;matrix_class_2020;matrix_class_2021;matrix_class_2022;matrix_class_2023
3M;assets_m;44659.0;47344.0;47072.0;46455.0;368.0;377.0;373.0;376.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
3M;employees;96163.0;94987.0;95000.0;92000.0;245.0;245.0;246.0;247.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
3M;profits_m;4570.0;5384.0;5921.0;5777.0;127.0;93.0;151.0;138.0;"]70% ; 80%]";"]60% ; 70%]";"]70% ; 80%]";"]70% ; 80%]"
3M;revenues_m;32136.0;32184.0;35355.0;34229.0;387.0;381.0;402.0;440.0;"]90% ; 100%]";"]80% ; 90%]";"]90% ; 100%]";"]90% ; 100%]"
ABB;assets_m;46108.0;41088.0;40260.0;0.0;362.0;403.0;408.0;0.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";na_class
ABB;employees;144400.0;105600.0;104400.0;0.0;153.0;212.0;218.0;0.0;"]60% ; 70%]";"]70% ; 80%]";"]70% ; 80%]";na_class
ABB;profits_m;1439.0;5146.0;4546.0;0.0;293.0;96.0;194.0;0.0;"]90% ; 100%]";"]60% ; 70%]";"]80% ; 90%]";na_class
ABB;revenues_m;37015.0;30142.0;28945.0;0.0;338.0;409.0;497.0;0.0;"]80% ; 90%]";"]90% ; 100%]";"]90% ; 100%]";na_class
ACS;assets_m;43316.0;45689.0;40550.0;40098.0;377.0;383.0;407.0;404.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
ACS;employees;190431.0;150265.0;105553.0;116702.0;109.0;141.0;216.0;191.0;"]50% ; 60%]";"]60% ; 70%]";"]70% ; 80%]";"]70% ; 80%]"
ACS;profits_m;1077.0;654.0;3601.0;703.0;326.0;337.0;228.0;378.0;"]90% ; 100%]";"]90% ; 100%]";"]80% ; 90%]";"]90% ; 100%]"
ACS;revenues_m;43706.0;39967.0;38317.0;35355.0;273.0;295.0;365.0;425.0;"]70% ; 80%]";"]70% ; 80%]";"]80% ; 90%]";"]90% ; 100%]"
AEON;assets_m;102575.0;107765.0;101017.0;90607.0;229.0;235.0;245.0;249.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
AEON;employees;290196.0;282073.0;288064.0;369404.0;57.0;56.0;54.0;37.0;"]30% ; 40%]";"]30% ; 40%]";"]30% ; 40%]";"]30% ; 40%]"
AEON;profits_m;246.0;-671.0;58.0;159.0;404.0;441.0;462.0;443.0;"]90% ; 100%]";<=0;"]90% ; 100%]";"]90% ; 100%]"
AEON;revenues_m;78930.0;81228.0;78155.0;67985.0;115.0;100.0;148.0;189.0;"]40% ; 50%]";"]40% ; 50%]";"]50% ; 60%]";"]60% ; 70%]"
