past_year;year;segment
"]0% ; 10%]";"]0% ; 10%]";yellows
"]0% ; 10%]";"]10% ; 20%]";light_reds
"]0% ; 10%]";"]20% ; 30%]";light_reds
"]0% ; 10%]";"]30% ; 40%]";light_reds
"]0% ; 10%]";"]40% ; 50%]";light_reds
"]0% ; 10%]";"]50% ; 60%]";light_reds
"]0% ; 10%]";"]60% ; 70%]";dark_reds
"]0% ; 10%]";"]70% ; 80%]";dark_reds
"]0% ; 10%]";"]80% ; 90%]";dark_reds
"]0% ; 10%]";"]90% ; 100%]";dark_reds
"]0% ; 10%]";"<=0";dark_reds
"]0% ; 10%]";"NE/DfR";blue_brown
"]10% ; 20%]";"]0% ; 10%]";light_greens
"]10% ; 20%]";"]10% ; 20%]";yellows
"]10% ; 20%]";"]20% ; 30%]";light_reds
"]10% ; 20%]";"]30% ; 40%]";light_reds
"]10% ; 20%]";"]40% ; 50%]";light_reds
"]10% ; 20%]";"]50% ; 60%]";light_reds
"]10% ; 20%]";"]60% ; 70%]";dark_reds
"]10% ; 20%]";"]70% ; 80%]";dark_reds
"]10% ; 20%]";"]80% ; 90%]";dark_reds
"]10% ; 20%]";"]90% ; 100%]";dark_reds
"]10% ; 20%]";"<=0";dark_reds
"]10% ; 20%]";"NE/DfR";blue_brown
"]20% ; 30%]";"]0% ; 10%]";light_greens
"]20% ; 30%]";"]10% ; 20%]";light_greens
"]20% ; 30%]";"]20% ; 30%]";yellows
"]20% ; 30%]";"]30% ; 40%]";light_reds
"]20% ; 30%]";"]40% ; 50%]";light_reds
"]20% ; 30%]";"]50% ; 60%]";light_reds
"]20% ; 30%]";"]60% ; 70%]";dark_reds
"]20% ; 30%]";"]70% ; 80%]";dark_reds
"]20% ; 30%]";"]80% ; 90%]";dark_reds
"]20% ; 30%]";"]90% ; 100%]";dark_reds
"]20% ; 30%]";"<=0";dark_reds
"]20% ; 30%]";"NE/DfR";blue_brown
"]30% ; 40%]";"]0% ; 10%]";light_greens
"]30% ; 40%]";"]10% ; 20%]";light_greens
"]30% ; 40%]";"]20% ; 30%]";light_greens
"]30% ; 40%]";"]30% ; 40%]";yellows
"]30% ; 40%]";"]40% ; 50%]";light_reds
"]30% ; 40%]";"]50% ; 60%]";light_reds
"]30% ; 40%]";"]60% ; 70%]";dark_reds
"]30% ; 40%]";"]70% ; 80%]";dark_reds
"]30% ; 40%]";"]80% ; 90%]";dark_reds
"]30% ; 40%]";"]90% ; 100%]";dark_reds
"]30% ; 40%]";"<=0";dark_reds
"]30% ; 40%]";"NE/DfR";blue_brown
"]40% ; 50%]";"]0% ; 10%]";light_greens
"]40% ; 50%]";"]10% ; 20%]";light_greens
"]40% ; 50%]";"]20% ; 30%]";light_greens
"]40% ; 50%]";"]30% ; 40%]";light_greens
"]40% ; 50%]";"]40% ; 50%]";yellows
"]40% ; 50%]";"]50% ; 60%]";light_reds
"]40% ; 50%]";"]60% ; 70%]";dark_reds
"]40% ; 50%]";"]70% ; 80%]";dark_reds
"]40% ; 50%]";"]80% ; 90%]";dark_reds
"]40% ; 50%]";"]90% ; 100%]";dark_reds
"]40% ; 50%]";"<=0";dark_reds
