name;newcomer_to_the_global_500;dropped_in_rank;gained_in_rank;sector;industry;country_territory;headquarters_city;headquarters_state;profitable;worlds_most_admired_companies;female_ceo;growth_in_jobs;change_the_world;fastest_growing_companies;fortune_500;best_companies;nonus_companies;change_in_rank;years_on_global_500_list;future_50
Walmart;no;no;no;Retailing;General Merchandisers;U.S.;Bentonville;Arkansas;yes;yes;no;no;yes;no;yes;no;no;N/A;29;N/A
Saudi Aramco;no;no;yes;Energy;Mining, Crude-Oil Production;Saudi Arabia;Dhahran;N/A;yes;no;no;yes;no;no;no;no;yes;4;5;N/A
State Grid;no;no;no;Energy;Utilities;China;Beijing;N/A;yes;no;no;no;no;no;no;no;yes;N/A;23;N/A
Amazon;no;yes;no;Retailing;Internet Services and Retailing;U.S.;Seattle;Washington;no;yes;no;no;no;no;yes;no;no;-2;15;N/A
China National Petroleum;no;yes;no;Energy;Petroleum Refining;China;Beijing;N/A;yes;no;no;no;no;no;no;no;yes;-1;23;N/A
Sinopec Group;no;yes;no;Energy;Petroleum Refining;China;Beijing;N/A;yes;no;no;no;no;no;no;no;yes;-1;25;N/A
Exxon Mobil;no;no;yes;Energy;Petroleum Refining;U.S.;Irving;Texas;yes;no;no;no;no;no;yes;no;no;5;29;N/A
Apple;no;yes;no;Technology;Computers, Office Equipment;U.S.;Cupertino;California;yes;yes;no;yes;no;no;yes;no;no;-1;21;N/A
Shell;no;no;yes;Energy;Petroleum Refining;Britain;London;N/A;yes;no;no;yes;no;no;no;no;yes;6;29;N/A
UnitedHealth Group;no;no;yes;Health Care;Health Care: Insurance and Managed Care;U.S.;Minnetonka;Minnesota;yes;yes;no;yes;no;no;yes;no;no;1;27;N/A
CVS Health;no;yes;no;Health Care;Health Care: Pharmacy and Other Services;U.S.;Woonsocket;Rhode Island;yes;yes;yes;yes;yes;no;yes;no;no;-1;28;N/A
Trafigura Group;no;no;yes;Wholesalers;Trading;Singapore;Singapore;N/A;yes;no;no;yes;no;no;no;no;yes;7;9;N/A
China State Construction Engineering;no;yes;no;Engineering & Construction;Engineering & Construction;China;Beijing;N/A;yes;no;no;yes;no;no;no;no;yes;-4;12;N/A
Berkshire Hathaway;no;no;no;Financials;Insurance: Property and Casualty (Stock);U.S.;Omaha;Nebraska;no;yes;no;yes;no;no;yes;no;no;N/A;27;N/A
Volkswagen;no;yes;no;Motor Vehicles & Parts;Motor Vehicles & Parts;Germany;Wolfsburg;N/A;yes;no;no;yes;no;no;no;no;yes;-7;29;N/A
Uniper;yes;N/A;N/A;Energy;Energy;Germany;N/A;N/A;no;no;no;yes;no;no;no;no;yes;N/A;5;N/A
Alphabet;no;no;no;Technology;Internet Services and Retailing;U.S.;Mountain View;California;yes;yes;no;yes;no;yes;yes;no;no;N/A;15;N/A
McKesson;no;yes;no;Health Care;Wholesalers: Health Care;U.S.;Irving;Texas;yes;yes;no;no;no;no;yes;no;no;-2;29;N/A
Toyota Motor;no;yes;no;Motor Vehicles & Parts;Motor Vehicles & Parts;Japan;Toyota;N/A;yes;yes;no;yes;no;no;no;no;yes;-6;29;N/A
TotalEnergies;no;no;yes;Energy;Petroleum Refining;France;Courbevoie;N/A;yes;no;no;no;no;no;no;no;yes;7;29;N/A
Glencore;no;no;yes;Energy;Mining, Crude-Oil Production;Switzerland;Baar;N/A;yes;no;no;yes;no;no;no;no;yes;2;13;N/A
BP;no;no;yes;Energy;Petroleum Refining;Britain;London;N/A;no;no;no;yes;no;no;no;no;yes;13;29;N/A
Chevron;no;no;yes;Energy;Petroleum Refining;U.S.;San Ramon;California;yes;no;no;yes;no;no;yes;no;no;14;29;N/A
Cencora;no;yes;no;Health Care;Wholesalers: Health Care;U.S.;Conshohocken;Pennsylvania;yes;yes;no;yes;no;no;yes;no;no;-3;24;N/A
Samsung Electronics;no;yes;no;Technology;Electronics, Electrical Equip.;South Korea;Suwon, Gyeonggi-do;N/A;yes;yes;no;yes;no;no;no;no;yes;-7;29;N/A
Costco Wholesale;no;no;no;Retailing;General Merchandisers;U.S.;Issaquah;Washington;yes;yes;no;yes;no;no;yes;no;no;N/A;29;N/A
Hon Hai Precision Industry;no;yes;no;Technology;Electronics, Electrical Equip.;Taiwan;New Taipei City;N/A;yes;no;no;no;no;no;no;no;yes;-7;19;N/A
