year;name;measure;value
2023;Walmart;revenues_m;611289
2023;Saudi Aramco;revenues_m;603651
2023;State Grid;revenues_m;530009
2023;Amazon;revenues_m;513983
2023;China National Petroleum;revenues_m;483019
2023;Sinopec Group;revenues_m;471154
2023;Exxon Mobil;revenues_m;413680
2023;Apple;revenues_m;394328
2023;Shell;revenues_m;386201
2023;UnitedHealth Group;revenues_m;324162
2023;CVS Health;revenues_m;322467
2023;Trafigura Group;revenues_m;318476
2023;China State Construction Engineering;revenues_m;305885
2023;Berkshire Hathaway;revenues_m;302089
2023;Volkswagen;revenues_m;293685
2023;Uniper;revenues_m;288309
2023;Alphabet;revenues_m;282836
2023;McKesson;revenues_m;276711
2023;Toyota Motor;revenues_m;274491
2023;TotalEnergies;revenues_m;263310
2023;Glencore;revenues_m;255984
2023;BP;revenues_m;248891
2023;Chevron;revenues_m;246252
2023;Cencora;revenues_m;238587
2023;Samsung Electronics;revenues_m;234129
2023;Costco Wholesale;revenues_m;226954
2023;Hon Hai Precision Industry;revenues_m;222535
2023;Industrial & Commercial Bank of China;revenues_m;214766
2023;China Construction Bank;revenues_m;202753
2023;Microsoft;revenues_m;198270
2023;Stellantis;revenues_m;188888
2023;Agricultural Bank of China;revenues_m;187061
2023;Ping An Insurance;revenues_m;181566
2023;Cardinal Health;revenues_m;181364
2023;Cigna;revenues_m;180516
2023;Marathon Petroleum;revenues_m;180012
2023;Phillips 66;revenues_m;175702
2023;Sinochem Holdings;revenues_m;173834
2023;China Railway Engineering Group;revenues_m;171669
2023;Valero Energy;revenues_m;171189
2023;Gazprom;revenues_m;167832
2023;China National Offshore Oil;revenues_m;164762
2023;China Railway Construction;revenues_m;163037
2023;China Baowu Steel Group;revenues_m;161698
2023;Mitsubishi;revenues_m;159371
2023;Ford Motor;revenues_m;158057
2023;Mercedes-Benz Group;revenues_m;157782
2023;Home Depot;revenues_m;157403
2023;Bank of China;revenues_m;156924
2023;General Motors;revenues_m;156735
2023;Elevance Health;revenues_m;156595
2023;JD.com;revenues_m;155533
2023;JPMorgan Chase;revenues_m;154792
2023;China Life Insurance;revenues_m;151487
2023;Electricité de France;revenues_m;150902
2023;Equinor;revenues_m;150806
2023;BMW Group;revenues_m;149991
2023;Kroger;revenues_m;148258
2023;Enel;revenues_m;147790
2023;Centene;revenues_m;144547
2023;ENI;revenues_m;140607
2023;China Mobile Communications;revenues_m;139597
2023;China Communications Construction;revenues_m;138270
2023;Verizon Communications;revenues_m;136835
2023;China Minmetals;revenues_m;133541
2023;Walgreens Boots Alliance;revenues_m;132703
2023;Allianz;revenues_m;129059
2023;Alibaba Group Holding;revenues_m;126813
2023;Xiamen C&D;revenues_m;125971
2023;Honda Motor;revenues_m;124912
2023;Petrobras;revenues_m;124474
2023;Shandong Energy Group;revenues_m;124089
2023;E.ON;revenues_m;121646
2023;China Resources;revenues_m;121643
2023;Fannie Mae;revenues_m;121596
2023;China Energy Investment;revenues_m;121584
2023;Comcast;revenues_m;121427
2023;AT&T;revenues_m;120741
2023;Deutsche Telekom;revenues_m;120108
2023;Pemex;revenues_m;118537
2023;Meta Platforms;revenues_m;116609
2023;Bank of America;revenues_m;115053
2023;China Southern Power Grid;revenues_m;113674
2023;SAIC Motor;revenues_m;110612
2023;Hyundai Motor;revenues_m;110412
2023;China Post Group;revenues_m;110271
2023;COFCO;revenues_m;110222
2023;Reliance Industries;revenues_m;109523
2023;Engie;revenues_m;109175
2023;Target;revenues_m;109120
2023;AXA;revenues_m;109067
2023;SK;revenues_m;105959
2023;Mitsui;revenues_m;105694
2023;Indian Oil;revenues_m;105349
2023;Xiamen ITG Holding Group;revenues_m;103090
2023;Itochu;revenues_m;103029
2023;Dell Technologies;revenues_m;102301
2023;Archer Daniels Midland;revenues_m;101556
2023;Citigroup;revenues_m;101078
2023;CITIC Group;revenues_m;100769
2023;United Parcel Service;revenues_m;100338
2023;Pfizer;revenues_m;100330
2023;DHL Group;revenues_m;99324
2023;Banco Santander;revenues_m;99231
